LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8250,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870
DATE_TIME initial_value,DOY initial_value,FLOW mean,T_PA mean,PA mean,T_CASE mean,VIN mean,CO2 mean,CO2_DRY mean,H2O mean,T_CELL mean,PA_CELL mean,CO2_ABS mean,H2O_ABS mean,DEWPOINT mean,VIN mean,FLOW mean,TA mean,DIAG mean,SWC_1 mean,TS_1 mean,SERIAL_NUMBER,PORT_LABEL,FCO2_DRY,FCO2_DRY dCdt,FCO2_DRY R2,FCO2_DRY CV,FCO2_DRY C0,FCO2_DRY Cx,FCO2_DRY a,FCO2_DRY T0,FCO2_DRY sei,FCO2_DRY ses,FCO2_DRY LIN,FCO2_DRY LIN_dCdt,FCO2_DRY LIN_R2,FCO2_DRY LIN_CV,FCO2_DRY LIN_SE,FCO2_DRY LIN_SSN,FH2O,FH2O dCdt,FH2O R2,FH2O CV,FH2O C0,FH2O Cx,FH2O a,FH2O T0,FH2O sei,FH2O ses,FH2O LIN,FH2O LIN_dCdt,FH2O LIN_R2,FH2O LIN_CV,FH2O LIN_SE,FH2O LIN_SSN
[YYYY-MM-DD HH:MM:SS],[#],[L+1M-1],[C],[kPa],[C],[V],[umol+1mol-1],[umol+1mol-1],[mmol+1mol-1],[C],[kPa],[#],[#],[C],[V],[L+1M-1],[C],[#],[m+3m-3],[C],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[umol+1mol-1],[umol+1mol-1],[#],[s],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[#],[#],[mmol+1m-2s-1],[mmol+1mol-1s-1],[#],[#],[mmol+1mol-1],[mmol+1mol-1],[#],[s],[#],[#],[mmol+1m-2s-1],[mmol+1mol-1s-1],[#],[#],[#],[#]
2022/05/17 20:01:12,137.834170,2.890000,22.428050,101.700000,20.154930,11.810000,287.070000,290.620000,12.212000,51.510000,101.380000,0.065373,0.070775,10.066450,11.340000,0.770000,5.097980,0.000000,-9999.000000,-9999.000000,82L-0274,1,0.367100,0.047180,0.923350,2.974590,287.884140,353.564550,0.000720,-0.971800,0.090580,0.001310,0.349150,0.044870,0.923270,3.110320,0.001310,0.000000,0.132790,0.017060,0.983170,1.075980,11.791770,12.377700,0.029120,-0.662920,0.002680,0.000040,0.021420,0.002750,0.874080,3.994740,0.000110,0.000000
2022/05/17 20:04:22,137.836370,2.800000,22.797270,101.680000,20.390230,11.810000,285.580000,289.090000,12.121000,51.510000,101.410000,0.065123,0.070404,9.957190,11.380000,0.770000,5.087310,0.000000,-9999.000000,-9999.000000,82L-0271,2,0.717890,0.092710,0.968570,1.827170,284.555910,313.474170,0.003210,4.661410,0.095570,0.001390,0.585690,0.075640,0.966310,2.168250,0.001430,0.000000,0.156740,0.020240,0.994570,1.065530,11.569740,12.407310,0.024170,-0.097670,0.002370,0.000030,0.033990,0.004390,0.913200,3.302330,0.000140,0.000000
2022/05/17 20:07:32,137.838560,2.790000,23.045310,101.670000,20.671490,11.810000,284.480000,287.960000,12.089000,51.510000,101.360000,0.064895,0.070236,9.910740,11.350000,0.770000,4.991000,0.000000,-9999.000000,-9999.000000,82L-0273,3,0.362330,0.050130,0.933260,2.661950,285.683320,314.358320,0.001750,11.915060,0.085190,0.001230,0.327870,0.045360,0.932640,2.911380,0.001230,0.000000,0.131680,0.018220,0.991430,1.075050,11.586370,12.358320,0.023600,0.717880,0.002810,0.000040,0.029870,0.004130,0.915710,3.240200,0.000130,0.000000
2022/05/17 20:10:44,137.840790,2.760000,23.228470,101.670000,20.958180,11.810000,286.630000,290.170000,12.190000,51.510000,101.430000,0.065327,0.070714,10.046100,11.410000,0.770000,5.501090,0.000000,-9999.000000,-9999.000000,82L-0272,4,0.671390,0.085390,0.980620,1.773170,285.839770,1000000.000000,0.000000,0.000000,0.211310,0.001220,0.671390,0.085390,0.980620,1.773170,0.001220,0.000000,0.208460,0.026510,0.992350,1.060510,11.630450,12.399490,0.034480,3.874970,0.002480,0.000040,0.029340,0.003730,0.848860,4.411540,0.000160,0.000000
2022/05/17 22:01:11,137.917490,2.870000,20.617120,101.510000,18.772980,11.810000,286.430000,290.030000,12.399000,51.510000,101.190000,0.065131,0.071424,10.258830,11.330000,0.780000,7.058240,0.000000,-9999.000000,-9999.000000,82L-0274,1,0.942230,0.122220,0.972390,1.518920,284.534410,302.474830,0.006810,1.218820,0.092370,0.001340,0.600840,0.077940,0.964700,2.208990,0.001510,0.000000,0.354110,0.045930,0.997150,1.055890,11.337400,12.807940,0.031240,0.734220,0.002760,0.000040,0.053090,0.006890,0.873210,4.009500,0.000270,0.000000
2022/05/17 22:04:21,137.919690,2.790000,21.173320,101.500000,19.073270,11.810000,288.840000,292.480000,12.445000,51.510000,101.170000,0.065545,0.071605,10.311010,11.340000,0.780000,6.891760,0.000000,-9999.000000,-9999.000000,82L-0271,2,1.285000,0.167450,0.990740,1.269940,284.727270,317.679120,0.005080,3.639290,0.082090,0.001190,0.928060,0.120930,0.985990,1.603990,0.001460,0.000000,0.380060,0.049530,0.996010,1.057220,11.366040,12.858610,0.033180,2.440730,0.003380,0.000050,0.054400,0.007090,0.860980,4.213500,0.000290,0.000000
2022/05/17 22:07:31,137.921890,2.790000,21.573000,101.510000,19.407700,11.810000,284.370000,287.930000,12.332000,51.510000,101.180000,0.064760,0.071141,10.178680,11.350000,0.770000,6.804370,0.000000,-9999.000000,-9999.000000,82L-0273,3,0.383970,0.053580,0.941500,2.383510,285.256950,305.634870,0.002630,3.963810,0.079060,0.001150,0.324170,0.045240,0.940040,2.771850,0.001160,0.000000,0.240530,0.033570,0.995900,1.060960,11.498450,12.729210,0.027270,2.165000,0.003070,0.000040,0.046570,0.006500,0.898290,3.575090,0.000220,0.000000
2022/05/17 22:10:42,137.924100,2.750000,21.856620,101.520000,19.739430,11.820000,290.070000,293.750000,12.514000,51.510000,101.190000,0.065771,0.071908,10.398940,11.350000,0.770000,6.876130,0.000000,-9999.000000,-9999.000000,82L-0272,4,1.288240,0.164970,0.989990,1.342150,285.830640,336.250010,0.003270,5.376570,0.094800,0.001370,1.049470,0.134390,0.987550,1.551710,0.001530,0.000000,0.275580,0.035290,0.997630,1.057160,11.667740,12.909020,0.028430,3.530950,0.002410,0.000030,0.052010,0.006660,0.888850,3.741590,0.000240,0.000000
